,addr_gu,mart_num,mart_mean,hospital_num,hospital_mean,department_num,department_mean,school_num,school_mean
0,강남구,2,0,70,1,3,1,33,1
1,강동구,3,1,33,1,1,0,29,1
2,강북구,1,0,17,0,1,0,14,0
3,강서구,4,1,36,1,1,0,35,1
4,관악구,1,0,19,0,1,0,22,0
5,광진구,2,0,13,0,1,0,22,0
6,구로구,3,1,21,1,2,1,26,1
7,금천구,4,1,14,0,2,1,18,0
8,노원구,3,1,22,1,1,0,42,1
9,도봉구,2,0,18,0,0,0,23,0
10,동대문구,2,0,31,1,1,0,21,0
11,동작구,1,0,13,0,0,0,21,0
12,마포구,4,1,13,0,0,0,22,0
13,서초구,2,0,28,1,2,1,24,1
14,성동구,3,1,11,0,0,0,21,0
15,성북구,3,1,15,0,2,1,29,1
16,송파구,5,1,41,1,4,1,40,1
17,양천구,3,1,16,0,2,1,30,1
18,영등포구,4,1,31,1,3,1,23,0
19,용산구,1,0,3,0,1,0,15,0
20,은평구,3,1,24,1,1,0,30,1
21,중구,2,0,11,0,5,1,12,0
22,중랑구,5,1,20,0,0,0,23,0
23,서대문구,0,0,14,0,1,0,19,0
24,종로구,0,0,10,0,0,0,13,0
