,addr_gu,density,fiscal_sr,ratio_ed
0,종로구,6649,47.2,0.4144632569372814
1,중구,13517,55.3,0.36451888439113156
2,용산구,11188,41.7,0.4296715649205992
3,성동구,17822,33.2,0.4083858837623334
4,광진구,21105,26.1,0.3763693770497266
5,동대문구,25114,24.5,0.3367010817502955
6,중랑구,21603,18.2,0.24011542639189912
7,성북구,18190,20.6,0.36305518771697504
8,강북구,13202,17.2,0.23518385975498204
9,도봉구,15852,18.9,0.280381597074789
10,노원구,14872,15.9,0.35414927366839205
11,은평구,16292,18.4,0.31959144125625205
12,서대문구,18322,23.5,0.40915058584557457
13,마포구,16011,32.0,0.4408445024066538
14,양천구,26301,25.2,0.3752973583438369
15,강서구,14140,21.9,0.3479051921741045
16,구로구,21496,22.5,0.2905606629548103
17,금천구,19035,26.3,0.24409788770754737
18,영등포구,16595,36.5,0.39205679399656823
19,동작구,24555,29.1,0.4267678025360334
20,관악구,17241,19.7,0.3844053487327458
21,서초구,9132,58.2,0.5530633412971272
22,강남구,13773,54.9,0.5416474437327109
23,송파구,19896,39.8,0.46640135563845286
24,강동구,18869,26.7,0.36964383467170114
