,addr_gu,academic,english,art,institution_num,num_per_10k
0,종로구,67,5,14,243,147.7
1,중구,34,8,8,109,80.3
2,용산구,68,25,28,154,97.1
3,성동구,149,15,60,289,141.3
4,광진구,237,23,66,405,139.8
5,동대문구,196,16,80,350,131.9
6,중랑구,162,6,53,262,95.8
7,성북구,278,20,106,439,115.9
8,강북구,137,3,36,206,96.3
9,도봉구,205,12,57,297,107.4
10,노원구,469,33,132,718,117.6
11,은평구,350,18,91,519,119.9
12,서대문구,204,15,52,348,144.1
13,마포구,265,36,166,689,247.7
14,양천구,704,56,146,1008,193.4
15,강서구,429,30,153,694,134.1
16,구로구,224,17,91,394,111.3
17,금천구,118,7,46,212,128.5
18,영등포구,195,24,68,445,175.7
19,동작구,222,22,75,471,161.5
20,관악구,223,13,94,431,140.3
21,서초구,566,80,128,1148,263.4
22,강남구,1227,188,249,2361,397.8
23,송파구,626,53,225,1076,172.9
24,강동구,418,22,137,724,170.9
