시군구,동,stn_count
강남구,개포동,11
강남구,논현동,6
강남구,대치동,13
강남구,도곡동,9
강남구,삼성동,17
강남구,세곡동,0
강남구,수서동,7
강남구,신사동,1
강남구,압구정동,5
강남구,역삼동,11
강남구,율현동,0
강남구,일원동,10
강남구,자곡동,0
강남구,청담동,6
강동구,강일동,0
강동구,고덕동,3
강동구,길동,3
강동구,둔촌동,1
강동구,명일동,8
강동구,상일동,5
강동구,성내동,6
강동구,암사동,5
강동구,천호동,13
강북구,미아동,11
강북구,번동,0
강북구,수유동,4
강북구,우이동,2
강서구,가양동,11
강서구,공항동,1
강서구,내발산동,2
강서구,등촌동,14
강서구,마곡동,11
강서구,방화동,21
강서구,염창동,20
강서구,화곡동,4
관악구,남현동,0
관악구,봉천동,7
관악구,신림동,4
광진구,광장동,9
광진구,구의동,6
광진구,군자동,1
광진구,자양동,13
광진구,중곡동,1
광진구,화양동,0
구로구,개봉동,9
구로구,고척동,1
구로구,구로동,12
구로구,신도림동,9
구로구,오류동,5
구로구,온수동,0
구로구,천왕동,2
구로구,항동,0
금천구,가산동,0
금천구,독산동,7
금천구,시흥동,3
노원구,공릉동,19
노원구,상계동,37
노원구,월계동,18
노원구,중계동,12
노원구,하계동,10
도봉구,도봉동,13
도봉구,방학동,5
도봉구,쌍문동,3
도봉구,창동,17
동대문구,답십리동,5
동대문구,용두동,5
동대문구,이문동,10
동대문구,장안동,0
동대문구,전농동,1
동대문구,제기동,6
동대문구,청량리동,1
동대문구,회기동,1
동대문구,휘경동,2
동작구,노량진동,2
동작구,대방동,6
동작구,동작동,0
동작구,본동,7
동작구,사당동,7
동작구,상도동,18
동작구,신대방동,4
동작구,흑석동,3
마포구,공덕동,9
마포구,대흥동,5
마포구,도화동,5
마포구,마포동,2
마포구,망원동,0
마포구,상수동,3
마포구,상암동,2
마포구,서교동,2
마포구,성산동,4
마포구,신공덕동,6
마포구,신수동,7
마포구,신정동,1
마포구,아현동,5
마포구,연남동,0
마포구,염리동,4
마포구,용강동,3
마포구,중동,2
마포구,창전동,7
마포구,토정동,1
마포구,하중동,1
마포구,현석동,2
서대문구,남가좌동,1
서대문구,냉천동,1
서대문구,대현동,1
서대문구,북가좌동,1
서대문구,북아현동,2
서대문구,연희동,0
서대문구,영천동,1
서대문구,천연동,0
서대문구,합동,1
서대문구,현저동,2
서대문구,홍은동,4
서대문구,홍제동,11
서초구,내곡동,0
서초구,반포동,14
서초구,방배동,12
서초구,서초동,13
서초구,신원동,0
서초구,양재동,0
서초구,우면동,0
서초구,잠원동,22
성동구,금호동1가,3
성동구,금호동2가,3
성동구,금호동3가,4
성동구,금호동4가,3
성동구,마장동,8
성동구,사근동,1
성동구,상왕십리동,0
성동구,성수동1가,10
성동구,성수동2가,3
성동구,송정동,0
성동구,옥수동,11
성동구,응봉동,6
성동구,하왕십리동,9
성동구,행당동,11
성북구,길음동,6
성북구,돈암동,8
성북구,동소문동4가,1
성북구,동소문동7가,1
성북구,보문동3가,2
성북구,보문동6가,2
성북구,삼선동2가,2
성북구,삼선동3가,2
성북구,삼선동4가,1
성북구,상월곡동,3
성북구,석관동,4
성북구,안암동1가,0
성북구,안암동3가,1
성북구,장위동,1
성북구,정릉동,16
성북구,종암동,5
성북구,하월곡동,3
송파구,가락동,13
송파구,거여동,10
송파구,마천동,3
송파구,문정동,3
송파구,방이동,3
송파구,석촌동,1
송파구,송파동,1
송파구,신천동,4
송파구,오금동,8
송파구,잠실동,5
송파구,장지동,7
송파구,풍납동,6
양천구,목동,14
양천구,신월동,0
양천구,신정동,11
영등포구,당산동,1
영등포구,당산동1가,1
영등포구,당산동2가,2
영등포구,당산동3가,5
영등포구,당산동4가,1
영등포구,당산동5가,7
영등포구,대림동,4
영등포구,도림동,0
영등포구,문래동2가,1
영등포구,문래동3가,5
영등포구,문래동4가,0
영등포구,문래동5가,5
영등포구,문래동6가,2
영등포구,신길동,14
영등포구,양평동1가,0
영등포구,양평동2가,0
영등포구,양평동3가,1
영등포구,양평동4가,3
영등포구,양평동5가,2
영등포구,양평동6가,1
영등포구,여의도동,10
영등포구,영등포동,3
영등포구,영등포동7가,2
영등포구,영등포동8가,0
용산구,도원동,1
용산구,보광동,0
용산구,산천동,0
용산구,서빙고동,2
용산구,신계동,0
용산구,신창동,0
용산구,용문동,1
용산구,원효로1가,1
용산구,원효로4가,0
용산구,이촌동,7
용산구,이태원동,0
용산구,청암동,1
용산구,한강로2가,1
용산구,한강로3가,1
용산구,한남동,2
용산구,효창동,3
용산구,후암동,1
은평구,갈현동,1
은평구,구산동,0
은평구,녹번동,6
은평구,대조동,1
은평구,불광동,5
은평구,수색동,1
은평구,신사동,1
은평구,역촌동,0
은평구,응암동,2
은평구,증산동,1
은평구,진관동,7
종로구,내수동,1
종로구,명륜2가,1
종로구,무악동,5
종로구,숭인동,3
종로구,창신동,3
종로구,평창동,0
종로구,행촌동,0
중구,만리동1가,0
중구,만리동2가,0
중구,묵정동,0
중구,순화동,1
중구,신당동,11
중구,중림동,2
중구,충무로4가,1
중구,황학동,0
중랑구,망우동,3
중랑구,면목동,12
중랑구,묵동,14
중랑구,상봉동,6
중랑구,신내동,4
중랑구,중화동,3
