,gu,course_count,course_mean
0,강남구,185,1.1081081081081081
1,강동구,98,1.653061224489796
2,강북구,41,2.048780487804878
3,강서구,167,0.5688622754491018
4,관악구,68,2.235294117647059
5,광진구,68,1.8529411764705883
6,구로구,143,1.7482517482517483
7,금천구,42,2.4523809523809526
8,노원구,204,0.9313725490196079
9,도봉구,105,2.7904761904761903
10,동대문구,93,2.3010752688172045
11,동작구,104,2.2596153846153846
12,마포구,110,2.081818181818182
13,서대문구,74,2.2027027027027026
14,서초구,157,0.5796178343949044
15,성동구,106,1.679245283018868
16,성북구,124,1.1935483870967742
17,송파구,135,1.874074074074074
18,양천구,123,4.040650406504065
19,영등포구,156,1.5897435897435896
20,용산구,65,0.47692307692307695
21,은평구,116,1.6637931034482758
22,종로구,28,4.285714285714286
23,중구,36,1.5277777777777777
24,중랑구,95,1.8526315789473684
