"행정구역별",2016,2017,2018,2019,2020
"서울특별시",436121,428333,424800,422293,409536
"종로구",5686,5561,5507,5463,5192
"중구",5474,5283,5226,5181,4990
"용산구",7923,7624,7460,7273,6870
"성동구",12352,12047,11922,11789,10992
"광진구",15327,15029,15016,14977,14257
"동대문구",14212,13930,13721,13684,13157
"중랑구",15779,15419,15336,15176,14554
"성북구",22467,21897,21564,21051,20086
"강북구",11225,10878,10654,10392,9913
"도봉구",16760,16242,15962,15561,14540
"노원구",29482,28364,27558,26994,25841
"은평구",23037,22409,22028,21613,20400
"서대문구",13331,13193,13027,12993,12988
"마포구",16361,15850,15432,15272,14375
"양천구",24825,24526,24481,24414,23985
"강서구",27048,26594,26949,27134,26078
"구로구",19143,18965,18820,18674,18180
"금천구",9189,9030,8883,8880,8339
"영등포구",14449,13905,13881,13891,13537
"동작구",16887,16698,16366,16257,15553
"관악구",16883,16227,15768,15246,14410
"서초구",22595,22939,23182,23064,22668
"강남구",24190,24371,24858,25484,25905
"송파구",31048,31191,31368,32208,31373
"강동구",20448,20161,19831,19622,21353
